Grade;first_exam;second_exam;total;exam_year;exam_semester;exam_number;course;degree
1,0;25;19;44;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
1,3;7;7;14;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
1,7;4;6;10;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
2,0;12;6;18;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
2,3;5;4;9;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
2,7;13;5;18;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
3,0;15;11;26;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
3,3;14;11;25;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
3,7;13;8;21;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
4,0;15;7;22;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
5,0;72;48;120;2017;Wintersemester;333210003;Grundzüge der BWL: Einführung in die Theorie der Unternehmung;Bachelor
1,0;7;7;14;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
1,3;8;1;9;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
1,7;12;5;17;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
2,0;8;6;14;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
2,3;10;8;18;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
2,7;17;13;30;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
3,0;17;8;25;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
3,3;14;11;25;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
3,7;8;6;14;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
4,0;13;8;21;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
5,0;71;67;138;2017;Wintersemester;333210005;Grundzüge der Statistik A;Bachelor
1,0;2;2;4;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
1,3;2;3;5;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
1,7;4;3;7;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
2,0;7;10;17;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
2,3;5;5;10;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
2,7;7;3;10;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
3,0;10;4;14;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
3,3;8;13;21;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
3,7;8;10;18;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
4,0;28;10;38;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
5,0;34;40;74;2017;Wintersemester;333210000;Grundzüge der Volkswirtschaftslehre (PO 2016);Bachelor
1,0;16;19;35;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
1,3;16;13;29;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
1,7;20;8;28;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
2,0;11;7;18;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
2,3;17;10;27;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
2,7;15;5;20;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
3,0;5;7;12;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
3,3;4;1;5;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
3,7;3;3;6;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
4,0;3;1;4;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
5,0;8;25;33;2017;Wintersemester;333210011;Makroökonomik A;Bachelor
1,0;6;0;6;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
1,3;8;3;11;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
1,7;16;2;18;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
2,0;16;5;21;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
2,3;21;6;27;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
2,7;9;5;14;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
3,0;8;5;13;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
3,3;17;7;24;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
3,7;12;9;21;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
4,0;8;5;13;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
